Person,Product,crunchy,creamy,sweet,chocolaty,healthful,calorie,rich,addiction,accessible,handy,wrapping,image,commercial,,,,,,,,,,,
5,KinderRiegel,2.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
5,KitKat,5.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
5,Lion,5.00,5.00,5.00,5.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
5,Mars,3.00,5.00,5.00,5.00,3.00,4.00,3.00,3.00,5.00,5.00,3.00,5.00,5.00,,,,,,,,,,,
5,Snickers,3.00,3.00,4.00,3.00,1.00,4.00,3.00,2.00,4.00,4.00,2.00,4.00,4.00,,,,,,,,,,,
5,Twix,5.00,5.00,5.00,5.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
6,Balisto,5.00,3.00,4.00,4.00,3.00,5.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,,,,,,,,,,,
6,Bounty,3.00,4.00,5.00,3.00,2.00,5.00,4.00,3.00,3.00,4.00,5.00,4.00,3.00,,,,,,,,,,,
6,Duplo,4.00,3.00,5.00,4.00,2.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
6,KinderBueno,4.00,4.00,4.00,3.00,2.00,5.00,4.00,3.00,3.00,4.00,4.00,5.00,4.00,,,,,,,,,,,
6,KinderRiegel,2.00,4.00,5.00,5.00,2.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
6,KitKat,5.00,3.00,5.00,3.00,2.00,5.00,3.00,4.00,4.00,4.00,3.00,5.00,5.00,,,,,,,,,,,
6,Lion,5.00,3.00,5.00,4.00,2.00,5.00,4.00,3.00,3.00,3.00,4.00,5.00,4.00,,,,,,,,,,,
6,Mars,2.00,5.00,5.00,4.00,2.00,5.00,5.00,3.00,4.00,5.00,4.00,5.00,4.00,,,,,,,,,,,
6,Snickers,2.00,3.00,4.00,3.00,1.00,5.00,4.00,3.00,4.00,5.00,3.00,5.00,5.00,,,,,,,,,,,
6,Twix,5.00,3.00,5.00,4.00,2.00,5.00,3.00,2.00,4.00,3.00,5.00,5.00,5.00,,,,,,,,,,,
7,Balisto,4.00,2.00,4.00,3.00,2.00,4.00,3.00,2.92,3.00,4.00,3.00,3.00,3.18,,,,,,,,,,,
7,Bounty,3.00,2.00,4.00,3.00,2.00,4.00,4.00,3.05,4.00,3.96,3.00,4.00,2.90,,,,,,,,,,,
7,Duplo,2.00,2.00,4.00,3.00,2.00,4.00,3.00,3.27,4.00,4.06,2.00,4.00,4.00,,,,,,,,,,,
7,KinderBueno,2.00,5.00,4.00,4.00,2.00,4.00,3.00,3.62,4.00,3.80,3.00,3.00,3.00,,,,,,,,,,,
7,KinderRiegel,2.00,3.00,4.00,3.00,2.00,4.00,3.00,4.02,4.00,4.41,3.00,4.00,4.00,,,,,,,,,,,
7,KitKat,2.00,2.00,4.00,2.00,2.00,4.00,3.00,3.16,4.00,3.82,3.00,4.00,4.00,,,,,,,,,,,
7,Lion,2.00,4.00,4.00,3.00,2.00,4.00,4.00,3.25,3.00,4.00,3.00,2.00,3.21,,,,,,,,,,,
7,Mars,2.00,4.00,4.00,4.00,2.00,4.00,4.00,2.89,4.00,4.14,4.00,4.00,3.98,,,,,,,,,,,
7,Snickers,4.00,4.00,4.00,4.00,2.00,4.00,4.00,3.00,4.00,4.25,3.00,4.00,4.00,,,,,,,,,,,
7,Twix,2.00,4.00,4.00,3.00,2.00,4.00,4.00,3.28,4.00,4.04,4.00,4.00,4.06,,,,,,,,,,,
8,Balisto,4.47,1.91,4.05,3.86,2.28,4.09,3.42,2.92,3.49,4.00,3.41,3.16,3.18,,,,,,,,,,,
8,Bounty,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
8,Duplo,5.00,2.00,5.00,5.00,1.00,4.00,4.00,1.00,4.00,4.00,4.00,5.00,5.00,,,,,,,,,,,
8,KinderBueno,5.00,5.00,5.00,5.00,1.49,5.00,5.00,2.00,2.00,2.00,2.00,5.00,5.00,,,,,,,,,,,
8,KinderRiegel,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
8,KitKat,5.00,5.00,5.00,5.00,1.57,5.00,3.00,3.16,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
8,Lion,5.00,5.00,5.00,5.00,2.00,5.00,3.00,1.00,3.80,4.00,3.55,5.00,5.00,,,,,,,,,,,
8,Mars,5.00,5.00,5.00,5.00,1.46,5.00,5.00,5.00,5.00,5.00,1.00,5.00,5.00,,,,,,,,,,,
8,Snickers,5.00,5.00,5.00,5.00,1.00,5.00,2.00,1.00,5.00,3.00,5.00,5.00,4.35,,,,,,,,,,,
8,Twix,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,4.00,4.00,5.00,5.00,,,,,,,,,,,
9,Balisto,5.00,1.00,4.00,4.00,1.00,5.00,3.42,2.00,2.00,1.00,2.00,3.00,3.18,,,,,,,,,,,
9,Bounty,1.00,1.00,1.00,1.00,1.00,1.00,3.53,1.00,1.00,1.00,1.00,1.00,2.90,,,,,,,,,,,
9,Duplo,5.00,5.00,5.00,5.00,1.00,5.00,3.09,2.00,2.00,4.00,4.00,4.00,4.37,,,,,,,,,,,
9,KinderBueno,5.00,5.00,5.00,5.00,1.00,5.00,3.48,5.00,1.00,1.00,5.00,4.00,3.00,,,,,,,,,,,
9,KinderRiegel,1.00,5.00,5.00,5.00,1.00,5.00,3.44,5.00,5.00,4.00,2.00,4.00,4.45,,,,,,,,,,,
9,KitKat,4.00,2.00,2.00,2.00,1.00,5.00,3.27,2.00,4.00,1.00,4.00,4.00,3.90,,,,,,,,,,,
9,Lion,1.00,1.00,1.00,1.00,1.00,5.00,3.82,1.00,1.00,1.00,1.00,1.00,3.21,,,,,,,,,,,
9,Mars,1.00,1.00,4.00,2.00,1.00,5.00,3.67,2.00,4.00,5.00,5.00,4.00,3.98,,,,,,,,,,,
9,Snickers,5.00,1.00,4.00,5.00,1.00,5.00,3.60,2.93,5.00,5.00,5.00,5.00,4.35,,,,,,,,,,,
9,Twix,5.00,4.00,4.00,2.00,1.00,5.00,3.58,3.00,4.00,2.00,2.00,3.00,4.06,,,,,,,,,,,
10,Balisto,4.00,5.00,4.00,4.00,1.00,5.00,5.00,4.00,4.00,5.00,4.00,3.00,5.00,,,,,,,,,,,
10,Bounty,2.00,5.00,5.00,4.00,1.00,5.00,5.00,4.00,4.00,5.00,4.00,3.00,2.00,,,,,,,,,,,
10,Duplo,5.00,2.00,5.00,5.00,1.00,5.00,5.00,4.00,4.00,5.00,4.00,3.00,3.00,,,,,,,,,,,
10,KinderBueno,3.00,4.00,5.00,4.00,1.00,5.00,5.00,4.00,4.00,3.00,4.00,2.00,1.00,,,,,,,,,,,
10,KinderRiegel,1.00,5.00,5.00,5.00,1.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,,,,,,,,,,,
10,KitKat,5.00,3.00,5.00,5.00,1.00,5.00,4.00,3.00,3.00,3.00,2.00,4.00,5.00,,,,,,,,,,,
10,Lion,4.00,4.00,5.00,5.00,1.00,5.00,5.00,3.00,3.00,5.00,3.00,2.00,2.00,,,,,,,,,,,
10,Mars,2.00,3.00,5.00,4.00,1.00,5.00,5.00,4.00,3.00,5.00,3.00,3.00,3.00,,,,,,,,,,,
10,Snickers,3.00,4.00,5.00,5.00,1.00,5.00,5.00,4.00,4.00,3.00,3.00,5.00,5.00,,,,,,,,,,,
10,Twix,4.00,4.00,5.00,3.00,1.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,,
